1.525,0.43847,6.121,2.7824
1.53,0.41648,6.1456,2.8797
1.535,0.39305,6.169,2.9764
1.54,0.36563,6.1996,3.0738
1.545,0.33736,6.2295,3.175
1.55,0.3106,6.2661,3.2796
1.555,0.2853,6.3134,3.3844
1.56,0.23946,6.4068,3.4247
1.565,0.19779,6.4884,3.4716
1.57,0.159,6.5636,3.5241
1.575,0.12509,6.6438,3.5836
1.58,0.0929,6.7145,3.6457
1.585,0.061043,6.7884,3.7087
1.59,0.026451,6.8411,3.7691
1.595,-0.012942,6.896,3.8266
1.6,-0.041934,6.9475,3.8792
1.605,-0.067574,7.0025,3.9327
1.61,-0.088479,7.0574,3.9847
1.615,-0.12207,7.1086,4.0327
1.62,-0.14442,7.1472,4.08
1.625,-0.16831,7.1785,4.1223
1.63,-0.19313,7.2225,4.1592
1.635,-0.21263,7.2665,4.1897
1.64,-0.21881,7.2934,4.2412
1.645,-0.23274,7.33,4.2942
1.65,-0.25878,7.3444,4.3477
1.655,-0.28968,7.3755,4.3991
1.66,-0.32224,7.4181,4.4528
1.665,-0.36774,7.4718,4.5019
1.67,-0.42216,7.5197,4.5531
1.675,-0.46931,7.5605,4.6107
1.68,-0.50005,7.6052,4.6351
1.685,-0.53467,7.6182,4.6584
1.69,-0.57052,7.6562,4.6768
1.695,-0.59897,7.6777,4.7005
1.7,-0.62529,7.6953,4.7315
1.705,-0.64828,7.7204,4.7625
1.71,-0.6702,7.7697,4.7982
1.715,-0.68645,7.826,4.8382
1.72,-0.71591,7.8925,4.8705
1.725,-0.74907,7.9623,4.8956
1.73,-0.78864,8.0279,4.9125
1.735,-0.82011,8.0796,4.9392
1.74,-0.85079,8.0973,4.9711
1.745,-0.88734,8.1194,4.9984
1.75,-0.9156,8.1427,5.0262
1.755,-0.93724,8.1617,5.0646
1.76,-0.9856,8.2038,5.0799
1.765,-1.0298,8.2325,5.1288
1.77,-1.0775,8.2439,5.1736
1.775,-1.1114,8.2456,5.2204
1.78,-1.1477,8.2393,5.2592
1.785,-1.1795,8.2523,5.2974
1.79,-1.2105,8.2714,5.3418
1.795,-1.2345,8.2515,5.3899
1.8,-1.2572,8.2179,5.4037
1.805,-1.2747,8.2,5.4295
1.81,-1.3005,8.1837,5.4499
1.815,-1.3295,8.1762,5.4737
1.82,-1.3668,8.1486,5.4618
1.825,-1.4041,8.1243,5.4511
1.83,-1.4376,8.0924,5.4472
1.835,-1.4846,8.0843,5.432
1.84,-1.5425,8.1092,5.4883
1.845,-1.6145,8.1113,5.5206
1.85,-1.6849,8.1199,5.5586
1.855,-1.7482,8.1381,5.6058
1.86,-1.8153,8.1289,5.6156
1.865,-1.8738,8.1456,5.6089
1.87,-1.9327,8.1758,5.6073
1.875,-1.9925,8.2132,5.6105
1.88,-2.0652,8.2831,5.611
1.885,-2.1448,8.3132,5.5873
1.89,-2.2192,8.3523,5.557
1.895,-2.2849,8.3781,5.5279
1.9,-2.3558,8.4373,5.5026
1.905,-2.4446,8.4907,5.4811
1.91,-2.5294,8.5631,5.45
1.915,-2.617,8.5984,5.4519
1.92,-2.7247,8.6624,5.4568
1.925,-2.8389,8.7301,5.4805
1.93,-2.9692,8.7829,5.4921
1.935,-3.0831,8.8501,5.5077
1.94,-3.2175,8.8991,5.5299
1.945,-3.3357,8.9732,5.56
1.95,-3.4644,9.0128,5.5782
1.955,-3.5869,9.0672,5.5923
1.96,-3.6926,9.1234,5.565
1.965,-3.7988,9.1839,5.5291
1.97,-3.9027,9.2475,5.4877
1.975,-4.0196,9.318,5.4563
1.98,-4.1286,9.3938,5.4204
1.985,-4.238,9.4615,5.3754
1.99,-4.3532,9.5103,5.3264
1.995,-4.4702,9.5843,5.292
2,-4.5638,9.6387,5.2394
2.005,-4.6685,9.6794,5.1996
2.01,-4.7483,9.7329,5.1795
2.015,-4.8181,9.7805,5.1662
2.02,-4.8835,9.8344,5.1423
2.025,-4.932,9.8691,5.1398
2.03,-4.9787,9.9141,5.1265
2.035,-5.0414,9.9465,5.1072
2.04,-5.0947,9.9648,5.0823
2.045,-5.159,9.9624,5.0674
2.05,-5.2161,9.9871,5.0338
