-0.10958,13.742,13.878
0.18867,14.771,14.031
0.45826,15.698,14.447
0.71711,16.622,14.842
1.0004,17.529,15.264
1.3263,18.463,15.728
1.7141,19.369,16.25
2.1243,20.296,16.769
2.5734,21.23,17.312
3.052,22.176,17.842
3.3428,23.189,18.102
3.6399,24.176,18.41
3.9176,25.166,18.697
4.2088,26.154,18.991
4.4609,27.159,19.235
4.6753,28.141,19.421
4.8342,29.119,19.532
4.9983,30.078,19.629
5.2174,31.092,19.521
5.4272,32.121,19.386
5.6562,33.126,19.258
5.8657,34.139,19.099
6.0936,35.135,18.957
6.3218,36.14,18.834
6.5482,37.116,18.718
6.7502,38.103,18.602
6.9583,39.03,18.472
7.1782,39.893,18.333
7.4065,40.692,18.182
7.6518,41.428,18.046
7.9066,42.126,17.917
8.1872,42.791,17.816
8.4891,43.458,17.74
8.8021,44.131,17.671
8.9708,44.716,17.597
9.1188,45.232,17.517
9.245,45.709,17.431
9.3441,46.127,17.352
9.4069,46.542,17.301
9.4239,46.933,17.257
9.4596,47.306,17.263
9.4664,47.64,17.27
9.3676,47.769,17.323
9.2633,47.893,17.347
9.1703,47.989,17.362
9.0851,48.059,17.354
9.0032,48.1,17.316
8.9198,48.125,17.241
8.853,48.119,17.151
8.7515,48.063,16.998
8.6286,47.975,16.888
8.5061,47.915,16.786
8.4002,47.869,16.707
8.2741,47.827,16.614
8.1522,47.806,16.547
8.002,47.784,16.471
7.8724,47.763,16.421
7.7193,47.729,16.355
7.5221,47.694,16.183
7.3436,47.647,16.007
7.1562,47.604,15.791
7.0027,47.557,15.579
6.8631,47.52,15.36
6.732,47.455,15.13
6.6212,47.396,14.922
6.5201,47.347,14.734
6.4231,47.398,14.644
6.3441,47.445,14.561
6.2584,47.464,14.461
6.1856,47.461,14.37
6.1125,47.446,14.276
6.0165,47.413,14.161
5.9291,47.386,14.062
5.8149,47.361,13.939
5.7086,47.353,13.849
5.6101,47.353,13.759
5.5142,47.339,13.659
5.407,47.317,13.538
5.3085,47.297,13.42
5.2074,47.278,13.305
5.1056,47.275,13.194
5.0167,47.256,13.11
4.8641,47.187,12.905
4.7195,47.131,12.697
4.5832,47.042,12.5
4.4561,46.947,12.319
4.2963,46.831,12.105
4.1553,46.701,11.9
4.0063,46.554,11.684
3.8379,46.38,11.447
3.6545,46.03,11.327
3.476,45.695,11.213
3.3005,45.337,11.1
3.1064,44.969,10.963
2.9176,44.575,10.832
2.7605,44.195,10.738
2.6062,43.804,10.649
2.4434,43.391,10.543
2.3382,42.747,10.372
2.2107,42.093,10.185
2.0747,41.441,9.9948
1.926,40.775,9.8047
1.7714,40.092,9.625
1.5943,39.404,9.4333
1.42,38.71,9.2616
1.2435,38.012,9.1027
1.2057,37.109,9.0083
1.152,36.201,8.8802
1.1401,35.284,8.7829
1.1154,34.355,8.6619
1.115,33.423,8.5659
1.1241,32.467,8.4791
1.1438,31.512,8.4115
1.1618,30.551,8.3655
1.0926,29.583,8.3672
1.0349,28.589,8.3827
0.9743,27.577,8.3754
0.92058,26.533,8.347
0.88631,25.466,8.33
0.86297,24.393,8.3036
0.82545,23.299,8.2649
0.76391,22.203,8.2241
0.57236,21.295,8.2358
0.38406,20.408,8.2746
0.18096,19.524,8.2908
-0.031659,18.626,8.2924
-0.24342,17.678,8.2556
-0.46094,16.714,8.1917
-0.67896,15.728,8.1248
-0.88161,14.727,8.0723
-0.89491,13.796,7.8238
-0.87785,12.843,7.5642
-0.83763,11.874,7.3082
-0.78586,10.905,7.0631
-0.7318,9.9214,6.8434
-0.68604,8.9351,6.6435
-0.64484,7.9399,6.4712
-0.60167,6.971,6.3606
-0.61853,5.9705,6.1312
-0.65254,4.9793,5.8927
-0.67099,3.9844,5.6262
-0.68321,2.9984,5.3641
-0.69066,2.0118,5.0836
-0.68808,1.0288,4.8073
-0.68928,0.031463,4.5326
-0.68336,-1.0004,4.2755
-0.61964,-1.95,4.0885
-0.54952,-2.8719,3.8772
-0.48547,-3.7674,3.6477
-0.43181,-4.6542,3.3868
-0.38475,-5.501,3.1279
-0.3299,-6.326,2.868
-0.26657,-7.1325,2.6196
-0.20714,-7.9228,2.3862
-0.19199,-8.3699,2.049
-0.1559,-8.8117,1.6735
-0.097902,-9.232,1.2717
-0.030703,-9.653,0.85066
0.05265,-10.057,0.4146
0.1556,-10.463,-0.0034582
0.27651,-10.864,-0.39299
0.40802,-11.266,-0.73526
0.47623,-11.467,-1.0652
0.51673,-11.647,-1.3553
0.5497,-11.791,-1.5998
0.57071,-11.907,-1.8287
0.59463,-11.994,-2.0222
0.59791,-12.068,-2.1828
0.57483,-12.109,-2.3155
0.5299,-12.094,-2.4224
0.41847,-11.998,-2.456
0.31664,-11.914,-2.5081
0.21984,-11.827,-2.5598
0.12782,-11.755,-2.6036
0.036409,-11.698,-2.6548
-0.058424,-11.631,-2.674
-0.14906,-11.578,-2.6938
-0.24769,-11.533,-2.6857
-0.31454,-11.47,-2.5663
-0.38569,-11.401,-2.4433
-0.45364,-11.327,-2.3306
-0.53413,-11.255,-2.1988
-0.61956,-11.166,-2.0714
-0.70393,-11.072,-1.9397
-0.78796,-10.963,-1.7981
-0.87507,-10.835,-1.6495
-1.0129,-10.642,-1.6145
-1.1413,-10.472,-1.5694
-1.2623,-10.303,-1.5177
-1.3748,-10.127,-1.4528
-1.4722,-9.9654,-1.4055
-1.5711,-9.8025,-1.3489
